Brand,Price,Ton,BEE_rating,Avg_Rating,Reviews,Rated_reviews,Type,Inverter,Convertible,Condenser Coil,Power Consumption,Noise level,Refrigerant,Ambient Temperature,WiFi Enabled,Warranty
Hitachi,30990,1.5,3,Not Available,Not Available,Not Available,Window,No,No,Copper,1277,50,Not Available,Not Available,No,1 Year on Product and 5 Years on Compressor
Lg,38990,1.5,4,4,"3,175",350,Split,Yes,Yes,Copper,847,26,R32,Not Available,No,"1 Year on Product, 5 Years on PCB and 10 Years on Compressor With Gas Charging"
Voltas,30999,1.5,5,4.3,"2,007",172,Window,No,No,Copper,1495,54,Not Available,Not Available,No,1 Year on Product and 5 Years on Compressor
Onida,30990,1.5,3,4.5,"2,804",508,Split,Yes,No,Copper,1740,52,Not Available,52,No,1 Year Warranty on Product and 5 Years on Compressor from Onida
Whirlpool,31990,1.5,3,4.2,"28,306","3,577",Split,Yes,No,Copper,1660,43,R32,52,No,Not Available
Samsung,35999,1.5,4,4.1,354,27,Split,Yes,No,Copper,1490,45,R32,52,No,1 Year Standard Warranty on Product and 10 Years on Compressor
Samsung,35999,1.5,4,4.1,354,27,Split,Yes,No,Copper,1490,45,R32,52,No,1 Year Standard Warranty on Product and 10 Years on Compressor
Voltas,35490,1.2,5,4.2,"8,317","1,007",Split,Yes,Yes,Copper,688,46,Not Available,Not Available,No,1 Year on Product and 5 Years on Compressor from Voltas
Blue Star,41990,1.5,5,4.2,"2,725",307,Split,Yes,Yes,Copper,1365,45,R40,Not Available,No,1 Year on Product and 10 Years Warranty on Compressor
Croma,28990,1.5,3,4.2,28,2,Split,Yes,Yes,Copper,1570,49,R32,Not Available,No,"1 Year on Product, 5 Years on Condenser and 9 Years on Compressor"
Marq By Flipkart,29999,1.5,3,3.9,"5,350",734,Split,Yes,Yes,Copper,1056,43,R32,55,No,1 Year Warranty on Product and 10 Years on Compressor from MarQ by Flipkart
Godrej,39490,1.5,5,4.4,209,16,Split,Yes,Yes,Copper,840,43,R32,52,No,1 Year Warranty on Product and 10 Years on Compressor
Panasonic,42999,1.5,5,4.3,"9,607","1,169",Split,Yes,No,Copper,840,46,R32,Not Available,Yes,"1 Year Comprehensive Warranty, 5 Years on PCB and 10 Years on Compressor"
Voltas,27999,1.5,3,4.3,"5,905",553,Window,No,No,Copper,1729,58,R32,Not Available,No,1 Year on Product and 4 Years on Compressor
Godrej,33990,1.5,3,4.2,223,23,Split,Yes,Yes,Copper,1046,43,R32,52,No,1 Year Warranty on Product and 10 Years on Compressor
Voltas,40999,1.6,5,4.3,"1,787",168,Split,Yes,Yes,Copper,1526,46,Not Available,Not Available,No,1 Year on Product and 5 Years on Compressor from Voltas
Voltas,39999,1.5,5,4.2,"1,225",106,Split,Yes,No,Copper,1750,43,R32,52,No,1 Year on Product and Condenser and 5 Years on Compressor from Voltas
Lloyd,33999,1.5,3,4.1,250,29,Split,Yes,No,Copper,1002,35,R32,Not Available,No,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
Blue Star,28990,0.8,3,4.2,"4,750",592,Split,Yes,No,Copper,521,55,Not Available,Not Available,No,1 Year on Product and 10 Years Warranty on Compressor From Blue Star
Carrier,29999,1.5,4,4.2,767,76,Window,No,No,Copper,1558,50,R32,50,No,1 Year Warranty on Product and 5 Years on Compressor
Whirlpool,31990,1,5,4.2,"28,306","3,577",Split,Yes,No,Copper,920,40,R32,55,No,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor"
Samsung,32999,1.5,3,4.3,200,12,Split,No,No,Copper,1091,44,R32,Not Available,No,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor From Samsung
Whirlpool,33990,1,5,4,"4,598",524,Split,Yes,Yes,Copper,840,31,R32,Not Available,No,Not Available
Samsung,46990,2,4,4.2,"24,029","2,445",Split,Yes,No,Copper,1820,45,R32,52,No,1 Year Standard Warranty on Product and 10 Years on Compressor
